Timestamp,Open,High,Low,Close,Volume,TickCount
1772178540,1.26992,1.27001,1.26916,1.26916,1917762,34
1772178555,1.26915,1.26957,1.26866,1.26888,7437922,134
1772178570,1.26879,1.26920,1.26856,1.26907,7892337,135
1772178585,1.26899,1.26948,1.26859,1.26887,7084064,134
1772178600,1.26893,1.26947,1.26853,1.26853,7076918,134
1772178615,1.26863,1.26921,1.26842,1.26887,7431132,134
1772178630,1.26881,1.26964,1.26879,1.26964,7239302,134
1772178645,1.26956,1.26956,1.26754,1.26754,7072479,133
1772178660,1.26753,1.26918,1.26739,1.26918,7050248,132
1772178720,1.27056,1.27060,1.27018,1.27027,4040175,77
