Timestamp,Open,High,Low,Close,Volume,TickCount
1772178551,1.08460,1.08471,1.08457,1.08469,330501,8
1772178552,1.08473,1.08482,1.08466,1.08472,670313,9
1772178553,1.08473,1.08492,1.08473,1.08487,602686,9
1772178554,1.08479,1.08486,1.08476,1.08486,443320,8
1772178555,1.08481,1.08481,1.08465,1.08470,478564,9
1772178556,1.08465,1.08465,1.08446,1.08454,467763,9
1772178557,1.08463,1.08483,1.08463,1.08476,477562,9
1772178558,1.08469,1.08475,1.08460,1.08468,391684,9
1772178559,1.08474,1.08480,1.08469,1.08477,496479,9
1772178560,1.08467,1.08483,1.08467,1.08483,542618,9
1772178561,1.08482,1.08482,1.08433,1.08433,408678,9
1772178562,1.08424,1.08434,1.08417,1.08433,451172,9
1772178563,1.08430,1.08451,1.08430,1.08448,512961,9
1772178564,1.08453,1.08458,1.08431,1.08441,549613,9
1772178565,1.08440,1.08442,1.08426,1.08442,475960,9
1772178566,1.08434,1.08434,1.08420,1.08429,410671,9
1772178567,1.08427,1.08434,1.08411,1.08411,398208,9
1772178568,1.08402,1.08411,1.08395,1.08408,444044,8
1772178569,1.08416,1.08444,1.08416,1.08444,439549,9
1772178570,1.08448,1.08448,1.08411,1.08411,395419,9
1772178571,1.08411,1.08447,1.08411,1.08441,579189,9
1772178572,1.08446,1.08473,1.08446,1.08473,505611,9
1772178573,1.08475,1.08489,1.08468,1.08480,449382,9
1772178574,1.08485,1.08497,1.08483,1.08494,399936,9
1772178575,1.08500,1.08520,1.08500,1.08514,513807,9
1772178576,1.08515,1.08545,1.08512,1.08545,590577,9
1772178577,1.08554,1.08556,1.08540,1.08550,453105,9
1772178578,1.08546,1.08546,1.08523,1.08523,470958,9
1772178579,1.08529,1.08529,1.08514,1.08520,519026,9
1772178580,1.08519,1.08519,1.08465,1.08465,405915,9
1772178581,1.08461,1.08466,1.08455,1.08455,460055,9
1772178582,1.08445,1.08449,1.08432,1.08432,485369,9
1772178583,1.08432,1.08432,1.08406,1.08406,431044,9
1772178584,1.08406,1.08406,1.08387,1.08399,590074,9
1772178585,1.08406,1.08406,1.08375,1.08379,498561,9
1772178586,1.08379,1.08379,1.08343,1.08343,391627,8
1772178587,1.08337,1.08358,1.08337,1.08352,375787,9
1772178588,1.08349,1.08369,1.08349,1.08357,576724,9
1772178589,1.08350,1.08351,1.08338,1.08340,495916,9
1772178590,1.08349,1.08349,1.08330,1.08335,547013,9
1772178591,1.08345,1.08362,1.08345,1.08362,418549,9
1772178592,1.08359,1.08371,1.08358,1.08366,423988,9
1772178593,1.08361,1.08368,1.08347,1.08355,405537,9
1772178594,1.08348,1.08364,1.08348,1.08364,587454,9
1772178595,1.08358,1.08374,1.08356,1.08373,478473,9
1772178596,1.08382,1.08382,1.08370,1.08370,530998,9
1772178597,1.08373,1.08373,1.08349,1.08373,539450,9
1772178598,1.08371,1.08382,1.08367,1.08367,517948,9
1772178599,1.08370,1.08387,1.08370,1.08383,604350,9
1772178600,1.08385,1.08393,1.08381,1.08381,551934,9
1772178601,1.08388,1.08396,1.08367,1.08370,537851,9
1772178602,1.08364,1.08364,1.08348,1.08351,381529,9
1772178603,1.08343,1.08343,1.08324,1.08324,455745,9
1772178604,1.08322,1.08335,1.08310,1.08335,485155,9
