Timestamp,Open,High,Low,Close,Volume,TickCount
1772178550,1.26992,1.27001,1.26916,1.26916,1917762,34
1772178555,1.26915,1.26957,1.26910,1.26947,2659380,45
1772178560,1.26949,1.26956,1.26895,1.26902,2385939,45
1772178565,1.26894,1.26909,1.26866,1.26888,2392603,44
1772178570,1.26879,1.26904,1.26863,1.26896,2791648,45
1772178575,1.26900,1.26908,1.26856,1.26883,2559241,45
1772178580,1.26890,1.26920,1.26877,1.26907,2541448,45
1772178585,1.26899,1.26948,1.26899,1.26934,2304572,44
1772178590,1.26929,1.26934,1.26859,1.26867,2304916,45
1772178595,1.26874,1.26919,1.26874,1.26887,2474576,45
1772178600,1.26893,1.26928,1.26885,1.26885,2398372,45
1772178605,1.26889,1.26947,1.26874,1.26882,2201459,44
1772178610,1.26874,1.26918,1.26853,1.26853,2477087,45
1772178615,1.26863,1.26902,1.26842,1.26902,2496547,45
1772178620,1.26907,1.26921,1.26889,1.26914,2321302,45
1772178625,1.26909,1.26909,1.26865,1.26887,2613283,44
1772178630,1.26881,1.26915,1.26881,1.26897,2374729,45
1772178635,1.26902,1.26915,1.26879,1.26910,2516381,44
1772178640,1.26915,1.26964,1.26891,1.26964,2348192,45
1772178645,1.26956,1.26956,1.26855,1.26869,2253319,44
1772178650,1.26861,1.26861,1.26796,1.26810,2370722,44
1772178655,1.26809,1.26821,1.26754,1.26754,2448438,45
1772178660,1.26753,1.26813,1.26739,1.26802,2395869,44
1772178665,1.26798,1.26896,1.26794,1.26873,2154134,44
1772178670,1.26882,1.26918,1.26866,1.26918,2500245,44
1772178675,1.26919,1.26923,1.26881,1.26923,2678428,45
1772178680,1.26930,1.26934,1.26896,1.26915,2466407,44
1772178725,1.27056,1.27060,1.27030,1.27039,1817360,32
1772178730,1.27037,1.27041,1.27018,1.27027,2222815,45
