Timestamp,Open,High,Low,Close,Volume,TickCount
1772178550,150.05065,150.08057,150.04168,150.04400,1703685,34
1772178555,150.04367,150.11470,150.01826,150.09712,2634182,45
1772178560,150.10677,150.16466,150.10677,150.15738,2580781,45
1772178565,150.15514,150.20603,150.15023,150.16836,2153346,44
1772178570,150.16808,150.19623,150.16754,150.18546,2555343,45
1772178575,150.17641,150.20737,150.16948,150.19955,2862120,45
1772178580,150.20251,150.23716,150.18660,150.22781,2370163,45
1772178585,150.22531,150.27134,150.21960,150.25720,2612537,44
1772178590,150.24723,150.34722,150.24723,150.31856,2253488,45
1772178595,150.31024,150.32898,150.26067,150.27507,2511688,45
1772178600,150.27065,150.27065,150.22544,150.24602,2356685,45
1772178605,150.25026,150.26525,150.22677,150.23595,2389509,44
1772178610,150.22748,150.29162,150.22305,150.29162,2414624,45
1772178615,150.29255,150.33613,150.29255,150.30577,2545153,45
1772178620,150.30176,150.30661,150.25735,150.27314,2497219,45
1772178625,150.26343,150.28439,150.23768,150.25740,2460720,44
1772178630,150.25562,150.26834,150.20392,150.20392,2657524,45
1772178635,150.20614,150.26115,150.19923,150.25473,2512519,44
1772178640,150.26233,150.27928,150.23170,150.23170,2315073,45
1772178645,150.23657,150.28153,150.23657,150.25525,2352052,44
1772178650,150.25838,150.27221,150.24176,150.24360,2627254,44
1772178655,150.24690,150.31733,150.23930,150.29442,2666579,45
1772178660,150.30126,150.32821,150.24313,150.24313,2415829,44
1772178665,150.24059,150.25983,150.20632,150.23659,2436168,44
1772178670,150.23496,150.24384,150.20293,150.20356,2446160,44
1772178675,150.19886,150.20162,150.16209,150.18988,2648989,45
1772178680,150.18102,150.19366,150.15540,150.16997,2407022,44
1772178725,150.02974,150.04040,149.99820,150.01157,1472667,32
1772178730,150.01845,150.06743,150.00411,150.06472,2477366,45
