Timestamp,Open,High,Low,Close,Volume,TickCount
1772178550,1.08460,1.08492,1.08446,1.08477,4358872,79
1772178560,1.08467,1.08483,1.08395,1.08444,4633474,89
1772178570,1.08448,1.08556,1.08411,1.08520,4877010,90
1772178580,1.08519,1.08519,1.08337,1.08340,4711072,89
1772178590,1.08349,1.08387,1.08330,1.08383,5053760,90
1772178600,1.08385,1.08396,1.08291,1.08331,4951878,89
1772178610,1.08327,1.08351,1.08264,1.08327,4955813,90
1772178620,1.08319,1.08354,1.08310,1.08320,5326728,89
1772178630,1.08321,1.08325,1.08277,1.08300,5172049,89
1772178640,1.08303,1.08361,1.08286,1.08334,5199201,89
1772178650,1.08325,1.08340,1.08271,1.08281,4664063,89
1772178660,1.08279,1.08280,1.08215,1.08215,4523190,88
1772178670,1.08209,1.08270,1.08182,1.08185,4904816,89
1772178720,1.08462,1.08473,1.08413,1.08444,1841570,33
